x,y,label
0.010779768,0.014163226,6
0.027448595,0.026996613,6
0.027248591,0.02589351,6
0.018101305,0.019263655,6
0.02286297,0.027768135,6
0.012339562,2.4318695e-05,6
0.019266546,0.018850178,6
0.018037558,0.008791506,6
0.02276209,0.022667706,6
0.012417048,0.0110271275,6
0.013114691,0.011636883,6
0.016575158,0.00977391,6
0.015675068,0.007916421,6
0.023646712,0.018776119,6
0.018655956,0.014163911,6
0.020145863,0.015995562,6
0.013724357,0.004042387,6
0.016485631,0.01438421,6
0.014937222,0.0100367665,6
0.020360678,0.02109301,6
0.02027902,0.020002246,6
0.021021038,0.020769984,6
0.016341597,0.019078612,6
0.017998487,0.017934531,6
0.025430858,0.015924722,6
0.017682016,0.019437283,6
0.01803279,0.017609179,6
0.015322238,0.013727635,6
0.02369067,0.02316156,6
0.022262633,0.023300886,6
0.019631296,0.016835988,6
0.0199534,0.01112321,6
0.013938218,0.008708179,6
0.026048332,0.024781495,6
0.021406263,0.019334972,6
0.020458132,0.013724357,6
0.017494887,0.024382353,6
0.01653105,0.008988947,6
0.026381582,0.02608338,6
0.01745069,0.018767536,6
0.015903622,0.011810392,6
0.023606926,0.028760225,6
0.012600094,0.008502126,6
0.01802519,0.015626311,6
0.02138549,0.012658656,6
0.021355242,0.017715722,6
0.015629679,0.010484844,6
0.016351163,0.015277177,6
0.027598709,0.026736736,6
0.018273294,0.01785639,6
0.021627754,0.015516818,6
0.022711009,0.018529892,6
0.028286844,0.013664454,6
0.015152425,0.016016454,6
0.019460022,0.010455728,6
0.021709025,0.023540556,6
0.022073478,0.020452023,6
0.024335086,0.024206161,6
0.01691407,0.005541235,6
0.0265221,0.020011455,6
0.017554075,0.009272486,6
0.021315247,0.0145713985,6
0.024682015,0.020103425,6
0.02234596,0.020583034,6
0.019842207,0.027648121,6
0.022045344,0.017921358,6
0.010539085,0.0020679235,6
0.02245599,0.023314118,6
0.008864969,0.0025396943,6
0.00796625,0.0046938956,6
0.0075678825,0.01409772,6
0.025200158,0.018781811,6
0.022948146,0.021543264,6
0.022451669,0.030662894,6
